Borrower Transaction-Level Detail Report -- Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Period	July 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution	KING CNTY LIBR SYST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol	NTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution Name	Institution Symbol	Institution State	Library Type	Requests To Lender	Requests To Lender From WorldCat	Requests,Canceled,Requests,Filled,Requests,Filled,(Loan),Requests,Filled,(Copy),Requests,Unfilled,Direct,Request:,Unmediated,Direct,Request:,Mediated,Average,Turnaround,Time,For,Filled,Requests,(dd:hh:mm),Average,Turnaround,Time,For,Loan,Filled,Requests,(dd:hh:mm),Average,Turnaround,Time,For,Copy,Filled,Requests,(dd:hh:mm)
BETTENDORF PUB LIBR INFO CTR	LE#	IA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICENTENNIAL LIBR OF COLSTRIP	YPK	MT	Public	0	0	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIG HORN CNTY PUB LIBR	YFY	MT	Public	2	2	0	2	2	0	0	0	0	1:12:00	1:12:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE PUB LIBR	JOZ	IL	Public	1	1	0	1	1	0	0	0	0	4:00:00	4:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE RIDGE REG LIBR	VMA	VA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOISE PUB LIBR	OEK	ID	Public	6	6	0	6	6	0	0	0	0	1:12:00	1:12:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULDER CITY LIBR DIST	BCF	NV	Public	1	1	0	1	1	0	0	0	0	5:00:00	5:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOULDER COMMUN LIBR	BLQ	MT	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUNDARY CNTY DIST LIBR	ZVN	ID	Public	1	1	0	1	1	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOZEMAN PUB LIBR	MZG	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZORIA CNTY LIBR SYST	T7B	TX	Public	1	1	0	1	1	0	0	0	0	5:00:00	5:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHAM YOUNG UNIV IDAHO	RIC	ID	Academic	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWATER SCH & COM LIBR	YYK	MT	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROOKLYN PUB LIBR	BKL	NY	Public	1	1	0	0	0	0	0	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUCKS CNTY FREE LIBR	DPB	PA	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUFFALO & ERIE CNTY PUB LIBR	VHB	NY	Public	2	2	0	0	0	0	2	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURBANK PUB LIBR	BUR	CA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURLINGTON PUB LIBR	BUP	IA	Public	1	1	0	0	0	0	1	0	0	0:00:00	0:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTLER CNTY COMMUN COL	PBT	PA	Academic	1	1	0	1	1	0	0	0	0	1:00:00	1:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTTE CNTY LIBR	JQI	CA	Public	2	2	0	1	1	0	1	0	0	1:00:00	1:00:00	0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
